CITY_ID;CITY_NAME;COU_ID
 000141001;Warszawa                      ; 000000141
 000142001;Lisboa                        ; 000000142
 000143001;San Juan                      ; 000000143
 000144001;Doha                          ; 000000144
 000145001;Bucuresti                     ; 000000145
 000146001;Moscow                        ; 000000146
 000147001;Kigali                        ; 000000147
 000148001;Apia                          ; 000000148
 000149001;Riyadh                        ; 000000149
 000150001;Dakar                         ; 000000150
 000151001;Victoria                      ; 000000151
 000152001;Freetown                      ; 000000152
 000153001;Singapore                     ; 000000153
 000154001;Bratislava                    ; 000000154
 000155001;Ljubljana                     ; 000000155
 000156001;Honiara                       ; 000000156
 000157001;Mogadishu                     ; 000000157
 000158001;Pretoria                      ; 000000158
 000159001;Seoul                         ; 000000159
 000160001;Barcelona                     ; 000000160
 000160002;Bilbao                        ; 000000160
 000160003;Las Palmas de Gran Canaria    ; 000000160
 000160004;Madrid                        ; 000000160
 000160005;Málaga                       ; 000000160
 000160006;Murcia                        ; 000000160
 000160007;Sevilla                       ; 000000160
 000160008;Valencia                      ; 000000160
 000160009;Zaragoza                      ; 000000160
 000161001;Colombo                       ; 000000161
 000162001;Khartum                       ; 000000162
 000163001;Paramaribo                    ; 000000163
 000164001;Mbabane                       ; 000000164
 000165001;Stockholm                     ; 000000165
 000165002;Uppsala                       ; 000000165
 000165003;Linköping                    ; 000000165
 000165004;Malmö                        ; 000000165
 000165005;Göteborg                     ; 000000165
 000166001;Bern                          ; 000000166
 000167001;Damascus                      ; 000000167
 000168001;Taipei                        ; 000000168
 000169001;Dushanbe                      ; 000000169
 000170001;Dodoma                        ; 000000170
 000171001;Bangkok                       ; 000000171
 000172001;Lom                           ; 000000172
 000173001;Nukualofa                     ; 000000173
 000174001;Port-of-Spain                 ; 000000174
 000175001;Tunis                         ; 000000175
 000176001;Ankara                        ; 000000176
 000177001;Ashgabat                      ; 000000177
 000178001;Kampala                       ; 000000178
 000179001;Kyiv                          ; 000000179
 000180001;Abu Dhabi                     ; 000000180
 000181001;London                        ; 000000181
 000182001;Austin                        ; 000000182
 000182002;Baltimore                     ; 000000182
 000182003;Boston                        ; 000000182
 000182004;Charlotte                     ; 000000182
 000182005;Chicago                       ; 000000182
 000182006;Columbus                      ; 000000182
 000182007;Dallas                        ; 000000182
 000182008;Denver                        ; 000000182
 000182009;Detroit                       ; 000000182
 000182010;El Paso                       ; 000000182
 000182011;Fort Worth                    ; 000000182
 000182012;Houston                       ; 000000182
 000182013;Indianapolis                  ; 000000182
 000182014;Jacksonville                  ; 000000182
 000182015;Los Angeles                   ; 000000182
 000182016;Memphis                       ; 000000182
 000182017;Milwaukee                     ; 000000182
 000182018;Nashville-Davidson            ; 000000182
 000182019;New York                      ; 000000182
 000182020;Oklahoma City                 ; 000000182
 000182021;Philadelphia                  ; 000000182
 000182022;Phoenix                       ; 000000182
 000182023;Portland                      ; 000000182
 000182024;San Antonio                   ; 000000182
 000182025;San Diego                     ; 000000182
 000182026;San Francisco                 ; 000000182
 000182027;San Jose                      ; 000000182
 000182028;Seattle                       ; 000000182
 000182029;Washington                    ; 000000182
